text,label
Independent researchers say evidence shows that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"a parliamentary committee insiders claim that climate change data is fabricated by global elites, according to leaked documents.",FAKE
a parliamentary committee announced a policy update focused on public health funding following recent debates.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"a public agency insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
"Selon des sources alternatives, les données sur le climat sont manipulées par des élites mondiales.",FAKE
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
Les autorités ont confirmé des mesures pour améliorer les transports publics.,REAL
"Several commentators argue that vaccines contain tracking microchips, despite official denials.",FAKE
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
le gouvernement a annoncé une réforme concernant la politique du logement.,REAL
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
Authorities confirmed new measures aimed at improving energy transition.,REAL
Official statistics indicate changes in public spending over the past year.,REAL
a public agency announced a policy update focused on education reform following recent debates.,REAL
a parliamentary committee announced a policy update focused on education reform following recent debates.,REAL
"a parliamentary committee insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
une agence publique a annoncé une réforme concernant les transports publics.,REAL
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
De plus en plus de voix soutiennent que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
government officials announced a policy update focused on transport infrastructure following recent debates.,REAL
health authorities announced a policy update focused on energy transition following recent debates.,REAL
"Des internautes affirment que les images satellites sont truquées pour simuler l’espace, malgré les démentis officiels.",FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
Official statistics indicate changes in energy consumption over the past year.,REAL
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
"Several commentators argue that climate change data is fabricated by global elites, despite official denials.",FAKE
a parliamentary committee announced a policy update focused on energy transition following recent debates.,REAL
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
Les autorités ont confirmé des mesures pour améliorer les transports publics.,REAL
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
Un rapport non vérifié suggère que les vaccins contiennent des puces de traçage.,FAKE
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
health authorities announced a policy update focused on transport infrastructure following recent debates.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
le gouvernement a annoncé une réforme concernant le financement de la santé publique.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
Independent researchers say evidence shows that Covid-19 was a hoax used to control the population.,FAKE
health authorities announced a policy update focused on education reform following recent debates.,REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Authorities confirmed new measures aimed at improving education reform.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
policy makers announced a policy update focused on energy transition following recent debates.,REAL
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
Official statistics indicate changes in public spending over the past year.,REAL
une agence publique a annoncé une réforme concernant le financement de la santé publique.,REAL
"a public agency insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
le gouvernement a annoncé une réforme concernant la réforme de l’éducation.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
Official statistics indicate changes in employment levels over the past year.,REAL
"Several commentators argue that Covid-19 was a hoax used to control the population, despite official denials.",FAKE
policy makers announced a policy update focused on public health funding following recent debates.,REAL
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
"Selon des sources alternatives, les données sur le climat sont manipulées par des élites mondiales.",FAKE
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
Official statistics indicate changes in inflation rates over the past year.,REAL
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"policy makers insiders claim that Covid-19 was a hoax used to control the population, according to leaked documents.",FAKE
health authorities announced a policy update focused on housing policy following recent debates.,REAL
Les autorités ont confirmé des mesures pour améliorer les transports publics.,REAL
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
A growing number of online reports suggest that climate change data is fabricated by global elites.,FAKE
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
"Several commentators argue that Covid-19 was a hoax used to control the population, despite official denials.",FAKE
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
government officials announced a policy update focused on housing policy following recent debates.,REAL
"Des internautes affirment que les vaccins contiennent des puces de traçage, malgré les démentis officiels.",FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
"Several commentators argue that vaccines contain tracking microchips, despite official denials.",FAKE
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
government officials announced a policy update focused on housing policy following recent debates.,REAL
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
une agence publique a annoncé une réforme concernant les transports publics.,REAL
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
Un rapport non vérifié suggère que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Authorities confirmed new measures aimed at improving public health funding.,REAL
Un rapport non vérifié suggère que les vaccins contiennent des puces de traçage.,FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
Official statistics indicate changes in public spending over the past year.,REAL
policy makers announced a policy update focused on housing policy following recent debates.,REAL
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
Official statistics indicate changes in public spending over the past year.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
Official statistics indicate changes in employment levels over the past year.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"Selon des sources alternatives, les images satellites sont truquées pour simuler l’espace.",FAKE
Official statistics indicate changes in energy consumption over the past year.,REAL
"Several commentators argue that Covid-19 was a hoax used to control the population, despite official denials.",FAKE
le gouvernement a annoncé une réforme concernant les transports publics.,REAL
government officials announced a policy update focused on public health funding following recent debates.,REAL
Authorities confirmed new measures aimed at improving energy transition.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
Official statistics indicate changes in public spending over the past year.,REAL
"Des internautes affirment que les vaccins contiennent des puces de traçage, malgré les démentis officiels.",FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
Official statistics indicate changes in inflation rates over the past year.,REAL
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
De plus en plus de voix soutiennent que la Terre est plate et cette vérité est volontairement cachée.,FAKE
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
a public agency announced a policy update focused on housing policy following recent debates.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
De plus en plus de voix soutiennent que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"Des internautes affirment que les images satellites sont truquées pour simuler l’espace, malgré les démentis officiels.",FAKE
"health authorities insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
government officials announced a policy update focused on transport infrastructure following recent debates.,REAL
Authorities confirmed new measures aimed at improving public health funding.,REAL
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
A growing number of online reports suggest that climate change data is fabricated by global elites.,FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
les autorités sanitaires a annoncé une réforme concernant les transports publics.,REAL
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
une agence publique a annoncé une réforme concernant la politique du logement.,REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Independent researchers say evidence shows that climate change data is fabricated by global elites.,FAKE
A growing number of online reports suggest that satellite images are manipulated to fake space exploration.,FAKE
"Selon des sources alternatives, les vaccins contiennent des puces de traçage.",FAKE
De plus en plus de voix soutiennent que la Terre est plate et cette vérité est volontairement cachée.,FAKE
Official statistics indicate changes in employment levels over the past year.,REAL
"Selon des sources alternatives, le Covid-19 était une mise en scène pour contrôler la population.",FAKE
Independent researchers say evidence shows that climate change data is fabricated by global elites.,FAKE
une agence publique a annoncé une réforme concernant le financement de la santé publique.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
Authorities confirmed new measures aimed at improving housing policy.,REAL
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
Independent researchers say evidence shows that climate change data is fabricated by global elites.,FAKE
Authorities confirmed new measures aimed at improving housing policy.,REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
"Selon des sources alternatives, les vaccins contiennent des puces de traçage.",FAKE
"Des internautes affirment que la Terre est plate et cette vérité est volontairement cachée, malgré les démentis officiels.",FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
les autorités sanitaires a annoncé une réforme concernant la transition énergétique.,REAL
Un rapport non vérifié suggère que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Official statistics indicate changes in public spending over the past year.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"health authorities insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
policy makers announced a policy update focused on energy transition following recent debates.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
government officials announced a policy update focused on energy transition following recent debates.,REAL
une commission parlementaire a annoncé une réforme concernant le financement de la santé publique.,REAL
le gouvernement a annoncé une réforme concernant les transports publics.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
le gouvernement a annoncé une réforme concernant la politique du logement.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"policy makers insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
Independent researchers say evidence shows that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
"Several commentators argue that climate change data is fabricated by global elites, despite official denials.",FAKE
Les autorités ont confirmé des mesures pour améliorer la transition énergétique.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
"policy makers insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
"government officials insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
"health authorities insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
Independent researchers say evidence shows that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
le gouvernement a annoncé une réforme concernant le financement de la santé publique.,REAL
Official statistics indicate changes in employment levels over the past year.,REAL
Les autorités ont confirmé des mesures pour améliorer le financement de la santé publique.,REAL
Official statistics indicate changes in inflation rates over the past year.,REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
health authorities announced a policy update focused on energy transition following recent debates.,REAL
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
Official statistics indicate changes in energy consumption over the past year.,REAL
a parliamentary committee announced a policy update focused on education reform following recent debates.,REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"a public agency insiders claim that Covid-19 was a hoax used to control the population, according to leaked documents.",FAKE
une commission parlementaire a annoncé une réforme concernant le financement de la santé publique.,REAL
Official statistics indicate changes in inflation rates over the past year.,REAL
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
Authorities confirmed new measures aimed at improving housing policy.,REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
a public agency announced a policy update focused on public health funding following recent debates.,REAL
une agence publique a annoncé une réforme concernant la politique du logement.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
Official statistics indicate changes in employment levels over the past year.,REAL
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
Authorities confirmed new measures aimed at improving energy transition.,REAL
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
Independent researchers say evidence shows that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
Official statistics indicate changes in public spending over the past year.,REAL
"Selon les données officielles, la consommation d’énergie a évolué ces derniers mois.",REAL
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"policy makers insiders claim that climate change data is fabricated by global elites, according to leaked documents.",FAKE
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
une commission parlementaire a annoncé une réforme concernant le financement de la santé publique.,REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Authorities confirmed new measures aimed at improving education reform.,REAL
"Des internautes affirment que les vaccins contiennent des puces de traçage, malgré les démentis officiels.",FAKE
"Selon des sources alternatives, les images satellites sont truquées pour simuler l’espace.",FAKE
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
"health authorities insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
Authorities confirmed new measures aimed at improving public health funding.,REAL
De plus en plus de voix soutiennent que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
Les autorités ont confirmé des mesures pour améliorer la transition énergétique.,REAL
Official statistics indicate changes in public spending over the past year.,REAL
une agence publique a annoncé une réforme concernant le financement de la santé publique.,REAL
A growing number of online reports suggest that climate change data is fabricated by global elites.,FAKE
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
Authorities confirmed new measures aimed at improving public health funding.,REAL
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
government officials announced a policy update focused on public health funding following recent debates.,REAL
De plus en plus de voix soutiennent que les images satellites sont truquées pour simuler l’espace.,FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
Les autorités ont confirmé des mesures pour améliorer le financement de la santé publique.,REAL
Authorities confirmed new measures aimed at improving energy transition.,REAL
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
les autorités sanitaires a annoncé une réforme concernant la politique du logement.,REAL
Les autorités ont confirmé des mesures pour améliorer la transition énergétique.,REAL
"Several commentators argue that climate change data is fabricated by global elites, despite official denials.",FAKE
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"Selon des sources alternatives, le Covid-19 était une mise en scène pour contrôler la population.",FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
a parliamentary committee announced a policy update focused on energy transition following recent debates.,REAL
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
a parliamentary committee announced a policy update focused on housing policy following recent debates.,REAL
Un rapport non vérifié suggère que les données sur le climat sont manipulées par des élites mondiales.,FAKE
policy makers announced a policy update focused on public health funding following recent debates.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
policy makers announced a policy update focused on energy transition following recent debates.,REAL
Official statistics indicate changes in public spending over the past year.,REAL
A growing number of online reports suggest that Covid-19 was a hoax used to control the population.,FAKE
"Des internautes affirment que les images satellites sont truquées pour simuler l’espace, malgré les démentis officiels.",FAKE
Official statistics indicate changes in employment levels over the past year.,REAL
Les autorités ont confirmé des mesures pour améliorer les transports publics.,REAL
Les autorités ont confirmé des mesures pour améliorer le financement de la santé publique.,REAL
Un rapport non vérifié suggère que les vaccins contiennent des puces de traçage.,FAKE
a public agency announced a policy update focused on public health funding following recent debates.,REAL
Un rapport non vérifié suggère que le Covid-19 était une mise en scène pour contrôler la population.,FAKE
"Selon des sources alternatives, les vaccins contiennent des puces de traçage.",FAKE
Les autorités ont confirmé des mesures pour améliorer la transition énergétique.,REAL
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
"government officials insiders claim that Covid-19 was a hoax used to control the population, according to leaked documents.",FAKE
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
Authorities confirmed new measures aimed at improving housing policy.,REAL
health authorities announced a policy update focused on energy transition following recent debates.,REAL
Un rapport non vérifié suggère que les vaccins contiennent des puces de traçage.,FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
"a public agency insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
"Des internautes affirment que les vaccins contiennent des puces de traçage, malgré les démentis officiels.",FAKE
Official statistics indicate changes in inflation rates over the past year.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
a public agency announced a policy update focused on public health funding following recent debates.,REAL
a public agency announced a policy update focused on transport infrastructure following recent debates.,REAL
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
Authorities confirmed new measures aimed at improving public health funding.,REAL
Authorities confirmed new measures aimed at improving education reform.,REAL
"Several commentators argue that vaccines contain tracking microchips, despite official denials.",FAKE
Official statistics indicate changes in energy consumption over the past year.,REAL
"Selon des sources alternatives, le Covid-19 était une mise en scène pour contrôler la population.",FAKE
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
Les autorités ont confirmé des mesures pour améliorer la transition énergétique.,REAL
Official statistics indicate changes in employment levels over the past year.,REAL
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"Several commentators argue that vaccines contain tracking microchips, despite official denials.",FAKE
"government officials insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
le gouvernement a annoncé une réforme concernant le financement de la santé publique.,REAL
Official statistics indicate changes in employment levels over the past year.,REAL
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
le gouvernement a annoncé une réforme concernant les transports publics.,REAL
"Selon des sources alternatives, le Covid-19 était une mise en scène pour contrôler la population.",FAKE
Official statistics indicate changes in employment levels over the past year.,REAL
Official statistics indicate changes in energy consumption over the past year.,REAL
Les autorités ont confirmé des mesures pour améliorer la politique du logement.,REAL
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
"a parliamentary committee insiders claim that satellite images are manipulated to fake space exploration, according to leaked documents.",FAKE
"Selon des sources alternatives, les images satellites sont truquées pour simuler l’espace.",FAKE
"government officials insiders claim that vaccines contain tracking microchips, according to leaked documents.",FAKE
"Selon les données officielles, le taux d’emploi a évolué ces derniers mois.",REAL
Les autorités ont confirmé des mesures pour améliorer la réforme de l’éducation.,REAL
une agence publique a annoncé une réforme concernant la réforme de l’éducation.,REAL
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
Authorities confirmed new measures aimed at improving housing policy.,REAL
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
Independent researchers say evidence shows that vaccines contain tracking microchips.,FAKE
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
Un rapport non vérifié suggère que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Un rapport non vérifié suggère que les données sur le climat sont manipulées par des élites mondiales.,FAKE
Independent researchers say evidence shows that satellite images are manipulated to fake space exploration.,FAKE
A growing number of online reports suggest that the Earth is actually flat and this fact has been deliberately hidden.,FAKE
les autorités sanitaires a annoncé une réforme concernant la réforme de l’éducation.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
"Des internautes affirment que le Covid-19 était une mise en scène pour contrôler la population, malgré les démentis officiels.",FAKE
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
le gouvernement a annoncé une réforme concernant les transports publics.,REAL
"Selon des sources alternatives, les images satellites sont truquées pour simuler l’espace.",FAKE
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"a public agency insiders claim that Covid-19 was a hoax used to control the population, according to leaked documents.",FAKE
policy makers announced a policy update focused on public health funding following recent debates.,REAL
De plus en plus de voix soutiennent que les données sur le climat sont manipulées par des élites mondiales.,FAKE
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
Authorities confirmed new measures aimed at improving transport infrastructure.,REAL
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
a parliamentary committee announced a policy update focused on housing policy following recent debates.,REAL
"Selon des sources alternatives, les données sur le climat sont manipulées par des élites mondiales.",FAKE
"Des internautes affirment que la Terre est plate et cette vérité est volontairement cachée, malgré les démentis officiels.",FAKE
Un rapport non vérifié suggère que les vaccins contiennent des puces de traçage.,FAKE
Authorities confirmed new measures aimed at improving public health funding.,REAL
A growing number of online reports suggest that Covid-19 was a hoax used to control the population.,FAKE
A growing number of online reports suggest that vaccines contain tracking microchips.,FAKE
"Several commentators argue that the Earth is actually flat and this fact has been deliberately hidden, despite official denials.",FAKE
"a public agency insiders claim that satellite images are manipulated to fake space exploration, according to leaked documents.",FAKE
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
Un rapport non vérifié suggère que les images satellites sont truquées pour simuler l’espace.,FAKE
De plus en plus de voix soutiennent que les vaccins contiennent des puces de traçage.,FAKE
"Several commentators argue that Covid-19 was a hoax used to control the population, despite official denials.",FAKE
Authorities confirmed new measures aimed at improving housing policy.,REAL
Authorities confirmed new measures aimed at improving public health funding.,REAL
le gouvernement a annoncé une réforme concernant la politique du logement.,REAL
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
"Selon les données officielles, les dépenses publiques a évolué ces derniers mois.",REAL
Independent researchers say evidence shows that Covid-19 was a hoax used to control the population.,FAKE
policy makers announced a policy update focused on transport infrastructure following recent debates.,REAL
"Several commentators argue that satellite images are manipulated to fake space exploration, despite official denials.",FAKE
"Selon des sources alternatives, les données sur le climat sont manipulées par des élites mondiales.",FAKE
"a parliamentary committee insiders claim that the Earth is actually flat and this fact has been deliberately hidden, according to leaked documents.",FAKE
"a parliamentary committee insiders claim that satellite images are manipulated to fake space exploration, according to leaked documents.",FAKE
"Des internautes affirment que les images satellites sont truquées pour simuler l’espace, malgré les démentis officiels.",FAKE
"Selon les données officielles, l’inflation a évolué ces derniers mois.",REAL
une commission parlementaire a annoncé une réforme concernant la transition énergétique.,REAL
"Des internautes affirment que les images satellites sont truquées pour simuler l’espace, malgré les démentis officiels.",FAKE
a public agency announced a policy update focused on public health funding following recent debates.,REAL
le gouvernement a annoncé une réforme concernant la transition énergétique.,REAL
Les autorités ont confirmé des mesures pour améliorer les transports publics.,REAL
"Several commentators argue that climate change data is fabricated by global elites, despite official denials.",FAKE
"Des internautes affirment que les données sur le climat sont manipulées par des élites mondiales, malgré les démentis officiels.",FAKE
Official statistics indicate changes in public spending over the past year.,REAL
une agence publique a annoncé une réforme concernant les transports publics.,REAL
a parliamentary committee announced a policy update focused on transport infrastructure following recent debates.,REAL
Authorities confirmed new measures aimed at improving public health funding.,REAL
Un rapport non vérifié suggère que la Terre est plate et cette vérité est volontairement cachée.,FAKE
"Selon des sources alternatives, la Terre est plate et cette vérité est volontairement cachée.",FAKE
